"date","count"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,2
2020-02-09,2
2020-02-10,2
2020-02-11,9
2020-02-12,15
2020-02-13,15
2020-02-14,17
2020-02-15,18
2020-02-16,18
2020-02-17,24
2020-02-18,29
2020-02-19,34
2020-02-20,34
2020-02-21,37
2020-02-22,37
2020-02-23,51
2020-02-24,51
2020-02-25,53
2020-02-26,62
2020-02-27,62
2020-02-28,62
2020-02-29,72
2020-03-01,72
2020-03-02,78
2020-03-03,78
2020-03-04,78
2020-03-05,78
2020-03-06,78
2020-03-07,78
2020-03-08,78
2020-03-09,78
2020-03-10,78
2020-03-11,96
2020-03-12,96
2020-03-13,97
2020-03-14,105
2020-03-15,105
2020-03-16,109
2020-03-17,114
2020-03-18,114
2020-03-19,114
2020-03-20,124
